str,en,he,ar
Authentication-----------------------------------,Authentication-----------------------------------,--------------------,-------------------------
Login,Login,כניסה, כניסה בערבית
Don't have an account yet? ,Don't have an account yet? ,.עדיין לא נרשמתי,
Lets create one,Lets create one, להרשמה,
Sign in with Google,Sign in with Google,כניסה עם חשבון גוגל,
Strong tone,Password,סיסמא,
Forgot password?,Forgot password?,שכחתי סיסמא ,
Register,Register,הרשמה,
Mobile Phone,Mobile Phone,טלפון סלולארי,
Confirm Password,Confirm Password,סיסמא לבדיקה,
Already have an account?,Already have an account?,"כבר נרשמתי, אני רוצה להכנס",
Authentication-----end------------------------------,Authentication-----end------------------------------,,
New,New,חדש,
Deleted,Deleted,נמחק,
Name,Name,שם,
Age,Age,גיל,
Birth Number,Birth Number,מספר לידה,
A little bit about yourself,A little bit about yourself,קצת על עצמך ,
Medical history,Medical history,מידע בריאותי,
Previous Hospitalizations,Previous Hospitalizations,אשפוזים קודמים?,
Expand,Expand,פירוט,
Please elaborate,Please elaborate,אנא פרט,
abount,abount,לגבי,
I now use protection,I now use protection,משתמשת כעת באמצעי מניעה,
Breast Shape,Breast Shape,מבנה שד,
Simmetrical,Simmetrical,סימטרי,
Nipple Type,Nipple Type,סוג פיטמה,
Flat,Flat,שטוח,
Normal,Normal,רגיל,
NormalF,NormalF,רגילה,
Size,Size,גודל,
Shakooa,Shakooa,שקועה,
Birth,Birth,לידה,
Current Birth,Current Birth,לידה נוכחית,
Big,Big,גדול,
BigF,BigF,גדולה,
MediumF,MediumF,בינונית,
SmallF,SmallF,קטנה,
Medium,Medium,בינוני,
Small,Small,קטן,
Breast Size,Breast Size,גודל חזה,
Breast Description,Breast Description,תאור שדיים,
Do you take pills On regular basis?,Do you take pills On regular basis?,טיפול תרופתי קבוע?,
Back,Back,חזור,
A little bit about the pregnancy,A little bit about the pregnancy,קצ על ההריון,
Problems in pregnancy,Problems in pregnancy,בעיות בזמן ההריון,
Spontaneous,Spontaneous,ספונטני,
Other,Other,אחר,
Conceiving method,Conceiving method,כניסה להריון,
Medication,Medication,תרופתי,
During giving birth,During giving birth,מהלך הלידה,
Birth Week,Birth Week,שבוע לידה,
Time Of Birth,Time Of Birth,שעה ויום הלידה,
After birth,After birth,לאחר הלידה,
First breast feeding,First breast feeding,הנקה ראשונה,
First days breast feeding,First days breast feeding,הנהקה בימים הראשונים,
Birth room,Birth room,חדר לידה,
Monitoring room,Monitoring room,חדר ניתור,
None,None,ללא,
Start of birth,Start of birth,התחלת הלידה,
Water broke,Water broke,ירידת מים ללא צירים,
Induced,Induced,זירוז,
Vacum,Vacum,ואקום,
